,f(x),Sy(x),f(x)-Sy(x)
0,0.14285714285714285,0.14285714285714285,0.0
1,0.1558846453624318,0.1561525125508036,-0.00026786718837179535
2,0.1706484641638225,0.1706484641638225,0.0
3,0.18744142455482665,0.18736647079337868,7.495376144797672e-05
4,0.20661157024793386,0.20661157024793386,0.0
5,0.22857142857142856,0.22858723439149742,-1.5805820068853782e-05
6,0.2538071065989848,0.2538071065989848,0.0
7,0.28288543140028294,0.2828763076213172,9.123778965725027e-06
8,0.3164556962025316,0.3164556962025316,0.0
9,0.35523978685612784,0.3552395394585853,2.473975425631991e-07
10,0.4,0.4,0.0
11,0.4514672686230249,0.4514770596555747,-9.791032549832934e-06
12,0.5102040816326532,0.5102040816326532,0.0
13,0.5763688760806917,0.5764147498071412,-4.587372644959675e-05
14,0.6493506493506496,0.6493506493506496,0.0
15,0.7272727272727273,0.7273902443057583,-0.00011751703303097827
16,0.806451612903226,0.806451612903226,0.0
17,0.8810572687224671,0.881155815455686,-9.854673321885166e-05
18,0.9433962264150942,0.9433962264150942,0.0
19,0.9852216748768474,0.9849678630805,0.0002538117963474251
20,1.0,1.0,0.0
21,0.9852216748768472,0.9849678630805001,0.00025381179634709206
22,0.9433962264150942,0.9433962264150942,0.0
23,0.8810572687224668,0.8811558154556857,-9.854673321885166e-05
24,0.8064516129032255,0.8064516129032255,0.0
25,0.7272727272727273,0.7273902443057582,-0.00011751703303086725
26,0.6493506493506493,0.6493506493506493,0.0
27,0.5763688760806915,0.5764147498071411,-4.587372644959675e-05
28,0.5102040816326529,0.5102040816326529,0.0
29,0.45146726862302466,0.45147705965557444,-9.791032549777423e-06
30,0.4,0.4,0.0
31,0.35523978685612784,0.35523953945858533,2.4739754250768797e-07
32,0.3164556962025316,0.3164556962025316,0.0
33,0.2828854314002828,0.2828763076213171,9.123778965725027e-06
34,0.25380710659898464,0.25380710659898464,0.0
35,0.22857142857142856,0.22858723439149736,-1.580582006879827e-05
36,0.20661157024793386,0.20661157024793386,0.0
37,0.1874414245548266,0.18736647079337865,7.495376144794896e-05
38,0.17064846416382248,0.17064846416382248,0.0
39,0.15588464536243177,0.15615251255080353,-0.0002678671883717676
40,0.14285714285714285,0.14285714285714285,0.0
